SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	42	4205880	-3	498	-3.0	121	135	89.6	-2
2009-10	42	4205910	-3	1135	-3.0	233	308	75.6	-2
2009-10	42	4206030	-3	244	-3.0	49	66	74.2	-2
2009-10	42	4206060	-3	277	-3.0	72	77	93.5	-2
2009-10	42	4206090	-3	341	-3.0	78	89	87.6	-2
2009-10	42	4206120	-3	274	-3.0	74	81	91.4	-2
2009-10	42	4206150	47	887	5.3	204	236	86.4	-2
2009-10	42	4206240	-3	2253	-3.0	558	602	92.7	-2
2009-10	42	4206270	-3	1143	-3.0	263	279	94.3	-2
2009-10	42	4206360	17	394	4.3	77	109	70.6	-2
2009-10	42	4206365	-3	658	-3.0	153	-2	-2.0	-2
2009-10	42	4206390	-3	205	-3.0	55	57	96.5	-2
2009-10	42	4206420	-3	349	-3.0	85	87	97.7	-2
2009-10	42	4206430	-3	284	-3.0	74	80	92.5	-2
2009-10	42	4206480	-3	1253	-3.0	270	318	84.9	-2
2009-10	42	4206550	-3	1355	-3.0	305	323	94.4	-2
2009-10	42	4206590	-3	896	-3.0	224	255	87.8	-2
2009-10	42	4206660	-3	1401	-3.0	250	451	55.4	-2
2009-10	42	4206780	-3	1025	-3.0	236	269	87.7	-2
2009-10	42	4206810	-3	232	-3.0	45	46	97.8	-2
2009-10	42	4206840	-3	1537	-3.0	354	385	91.9	-2
2009-10	42	4206860	-3	835	-3.0	212	236	89.8	-2
2009-10	42	4206930	-3	274	-3.0	72	86	83.7	-2
2009-10	42	4206960	-3	4284	-3.0	1099	1103	99.6	-2
2009-10	42	4207050	-3	410	-3.0	107	122	87.7	-2
2009-10	42	4207080	-3	1314	-3.0	295	346	85.3	-2
2009-10	42	4207110	-3	2531	-3.0	646	693	93.2	-2
2009-10	42	4207140	-3	388	-3.0	75	87	86.2	-2
2009-10	42	4207200	-3	841	-3.0	185	216	85.6	-2
2009-10	42	4207230	-3	1896	-3.0	453	502	90.2	-2
2009-10	42	4207290	-3	1251	-3.0	286	314	91.1	-2
2009-10	42	4207320	-3	720	-3.0	177	208	85.1	-2
2009-10	42	4207385	-3	814	-3.0	203	-2	-2.0	-2
2009-10	42	4207530	-3	1877	-3.0	463	504	91.9	-2
2009-10	42	4207540	-3	642	-3.0	146	170	85.9	-2
2009-10	42	4207560	-3	830	-3.0	229	251	91.2	-2
2009-10	42	4207590	-3	1161	-3.0	285	296	96.3	-2
2009-10	42	4207650	-3	876	-3.0	201	215	93.5	-2
2009-10	42	4207680	-3	1077	-3.0	234	293	79.9	-2
2009-10	42	4207710	-3	3630	-3.0	871	916	95.1	-2
2009-10	42	4207830	-3	1245	-3.0	276	337	81.9	-2
2009-10	42	4207980	-3	501	-3.0	127	138	92.0	-2
2009-10	42	4208010	-4	0	-4.0	-1	55	-1.0	-2
2009-10	42	4208060	-3	683	-3.0	168	188	89.4	-2
2009-10	42	4208280	-3	196	-3.0	47	56	83.9	-2
2009-10	42	4208460	-3	776	-3.0	188	211	89.1	-2
2009-10	42	4208490	-3	539	-3.0	129	134	96.3	-2
2009-10	42	4208550	-3	2634	-3.0	641	664	96.5	-2
2009-10	42	4208580	-3	882	-3.0	217	236	91.9	-2
2009-10	42	4208670	-3	2815	-3.0	686	755	90.9	-2
2009-10	42	4208790	-3	748	-3.0	175	217	80.6	-2
2009-10	42	4208820	-3	1139	-3.0	298	303	98.3	-2
2009-10	42	4208850	-3	2942	-3.0	682	808	84.4	-2
2009-10	42	4209090	-3	968	-3.0	248	276	89.9	-2
2009-10	42	4209120	-3	1367	-3.0	307	324	94.8	-2
2009-10	42	4209150	-3	458	-3.0	103	132	78.0	-2
2009-10	42	4209240	-3	594	-3.0	105	162	64.8	-2
2009-10	42	4209270	-3	1306	-3.0	349	313	100.0	-2
2009-10	42	4209300	212	3859	5.5	705	1059	66.6	-2
2009-10	42	4209360	-3	475	-3.0	123	133	92.5	-2
2009-10	42	4209480	-3	1405	-3.0	313	356	87.9	-2
2009-10	42	4209540	-3	390	-3.0	88	113	77.9	-2
2009-10	42	4209570	-3	613	-3.0	162	160	100.0	-2
2009-10	42	4209600	-3	526	-3.0	116	140	82.9	-2
2009-10	42	4209660	-3	200	-3.0	39	43	90.7	-2
2009-10	42	4209690	-3	237	-3.0	50	82	61.0	-2
2009-10	42	4209750	-3	261	-3.0	51	65	78.5	-2
2009-10	42	4209780	-3	844	-3.0	208	231	90.0	-2
2009-10	42	4209870	-3	160	-3.0	29	38	76.3	-2
2009-10	42	4209930	-3	291	-3.0	76	78	97.4	-2
2009-10	42	4209931	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4209932	-3	100	-3.0	-1	27	-1.0	-2
2009-10	42	4209933	-3	79	-3.0	-1	-2	-2.0	-2
